anio,mes,fecha_descarga,distrito_fiscal,ubicacion_especialidad,cargo,condicion,sexo,total,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
2025,12,09/01/2026,AMAZONAS,MIXTA,FISCAL ADJUNTO SUPERIOR,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,MIXTA,FISCAL PROVINCIAL,PROVISIONAL,FEMENINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,MIXTA,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,MIXTA,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,MIXTA,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,MIXTA,FISCAL SUPERIOR,TITULAR,MASCULINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,6,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,10,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,8,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,PENAL,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,14,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
